#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
| 148 | Hoeveel energie levert een batterij van 3,7 V en 2000 mAh per jaar als deze na een jaar leeg is? | Ongeveer 0,026 kWh. |
| 149 | Wat is de prijs van 1 kWh energie uit een batterij als deze 20 euro kost? | 20 euro per kWh. |
| 150 | Hoeveel energie verspilt een televisie in stand-by modus per jaar als deze 10 W verbruikt en 24 uur per dag aanstaat? | Ongeveer 87.600 kJ. |
| 151 | Wat is de massa van een volle waterstoftank als de tank 20 keer zwaarder is dan de waterstof erin? | 20 kg. |
| 152 | Hoeveel procent van de oorspronkelijke energie blijft beschikbaar na elektrolyse en compressie van waterstof? | Ongeveer 10%. |
| 153 | Hoeveel huishoudens kunnen worden aangesloten op een windmolenpark dat 1.000.000 MJ energie per jaar levert als een gemiddeld huishouden 3.500 kWh per jaar verbruikt? | Ongeveer 30.000 huishoudens. |
| 154 | Waarom worden huizen op het elektriciteitsnet aangesloten en niet rechtstreeks op een windmolenpark? | Het elektriciteitsnet biedt een betrouwbare stroomvoorziening en zorgt voor een constante energielevering. |
| 155 | Hoe moet je een elektrische zonnecel aansluiten op een batterij van 12 V en 2000 mAh? | Verbind de zonnecel met de batterij met een geschikte oplader en zorg voor een juiste spanning en stroomsterkte. |
| 156 |  Wat is het effect van een diode in een zonnepaneel oplader? | De diode voorkomt dat stroom terugvloeit naar de zonnecel als er geen zonlicht is. |

* Hd7
** Hd7.txt
|#| Vraag | Antwoord |
|-----------|--------------|
| 1 |  Waarom worden hoogspanningsleidingen gebruikt voor lange afstandstransport van elektriciteit? | Om energieverlies door weerstand te minimaliseren en de efficiëntie te verhogen. |
| 2 |  Hoe kan je een gemengde schakeling vereenvoudigen? | Door het schakelschema om te zetten naar een serieschakeling of parallelschakeling met behulp van de totale weerstand. |
| 3 |  Wat is een ontwerpvraag? | Een vraag die richtlijnen biedt voor het creëren van een product of systeem, zoals de vorm of specificaties die moeten worden gevolgd. |
| 4 |  Wat is een onderzoeksvraag? | Een vraag die gericht is op het ontdekken van feiten of het verklaren van verschijnselen door middel van metingen en experimenten. |
| 5 |  Noem een voorbeeld van een goede onderzoeksvraag. | "Wat is de invloed van temperatuur op de efficiëntie van zonnecellen?" |
| 6 |  Wat is een voorbeeld van een ontwerpvraag? | "Welke vorm van een zonnewagen biedt de beste aerodynamica?" |
| 7 |  Waarom zijn literatuurstudies belangrijk bij het ontwerpen? | Ze bieden achtergrondinformatie en bestaande kennis die helpt bij het vormen van een goed onderbouwd ontwerp. |
| 8 |  Hoe kan een computermodel helpen bij het ontwerpen van een zonnewagen? | Het model kan simulaties uitvoeren om de effecten van verschillende ontwerpvariabelen op de prestaties en luchtweerstand te analyseren. |
| 9 |  Wat is het voordeel van het gebruik van schaalmodellen in tests? | Ze zijn goedkoper en sneller aan te passen dan echte prototypes, wat snellere en goedkopere experimenten mogelijk maakt. |
| 10 |  Wat is de rol van een hypothese in een onderzoek? | Het is een veronderstelling die je gaat testen door experimenten om te zien of deze juist is of niet. |
| 11 |  Waarom worden smeltend ijs en kokend water gebruikt als referentiepunten in een thermometer? | Ze bieden vaste en betrouwbare temperaturen die gemakkelijk te meten zijn, waardoor de schaalverdeling kan worden ingesteld. |
| 12 |  Wat is de belangrijke eigenschap van een goed onderzoeksplan? | Het plan moet duidelijk aangeven welke grootheden worden gemeten en hoe de resultaten worden verwerkt om de onderzoeksvraag te beantwoorden. |
| 13 |  Hoe kan de vorm van een zonnewagen de prestaties beïnvloeden? | De vorm beïnvloedt de luchtweerstand, wat de snelheid en efficiëntie van de zonnewagen beïnvloedt. |
| 14 |  Noem een voordeel van het gebruik van een computermodel bij onderzoek. | Het kan snel verschillende scenario's simuleren en de effecten van ontwerpveranderingen berekenen. |
| 15 |  Wat is het doel van een evaluatie na een experiment? | Het doel is om te beoordelen of de hypothese klopt en of het experiment betrouwbaar en effectief was. |
| 16 | Wat moet je overwegen bij de keuze van meetinstrumenten? | Je moet rekening houden met het bereik en de nauwkeurigheid van de meting. |
| 17 | Hoe kun je meetonzekerheden verkleinen? | Herhaal de meting enkele keren en gebruik het gemiddelde van die metingen. |
| 18 | Wat is een pilotproef? | Een pilotproef is een klein vooronderzoek om te testen of de meetmethode tot een goed resultaat leidt. |
| 19 | Wat moet je doen als de resultaten van een pilotproef niet bevredigend zijn? | Pas het werkplan aan door een andere meetmethode of meetapparatuur te kiezen, of stel een andere onderzoeksvraag. |
| 20 | Hoe moet je omgaan met meetonzekerheden bij het aflezen? | De meetonzekerheid mag niet te groot zijn; vergelijkbare experimenten moeten dezelfde conclusie geven. |
| 21 | Wat moet je doen als je hypothese juist blijkt te zijn? | Vergelijk de verwachte uitkomst met de werkelijke uitkomst van het experiment. |
| 22 | Hoe kun je de hypothese bijstellen als deze niet juist blijkt te zijn? | Zoek naar een verklaring voor de resultaten en pas de hypothese aan op basis van de bevindingen. |
| 23 | Wat moet je doen als je de remweg in een experiment onderzoekt? | Zorg ervoor dat het experiment voldoet aan de eisen, zoals nauwkeurigheid in de metingen en een goed werkplan. |
| 24 | Waarom vallen de grafieklijnen in het begin vrijwel over elkaar heen in het onderzoek van Karen en Josje? | Dit komt doordat de massa van de fiets plus berijder in het begin niet veel verschilt. |
| 25 | Wat is een randvoorwaarde in een ontwerp? | Een randvoorwaarde is een eis waaraan het product absoluut moet voldoen, zoals de massa kleiner dan een bepaalde waarde. |
| 26 | Wat moet je doen als een prototype niet voldoet aan de eisen? | Ga na of je het prototype kunt verbeteren, wat leidt tot een nieuwe ontwerpcyclus met aangepaste oplossingen. |
| 27 | Welke fasen zijn er in een ontwerpcyclus? | De fasen zijn: voorbereidingsfase, ontwerpen, uitvoeren, testen en evalueren. |
| 28 | Wat is het doel van de evaluatiefase? | In de evaluatiefase beoordeel je of het prototype voldoet aan de eisen en verbeter je waar nodig. |
| 29 | Welke meetinstrumenten gebruik je voor de snelheid van een fietser? | Stopwatch en meetlint. |
| 30 | Hoe bepaal je het verband tussen de massa van de fiets plus berijder en de remweg? | Voer een experiment uit en analyseer de resultaten met een applet of meetinstrumenten. |
| 31 | Wat is belangrijk bij het opstellen van een programma van eisen voor een ontwerp? | Je moet zowel taken als eigenschappen formuleren en prioriteiten stellen aan de eisen. |
| 32 | Wat moet je doen in de voorbereidingsfase van een ontwerpcyclus? | Stel vast welke eisen het product moet voldoen en splitst deze op in deelontwerpen. |
| 33 | Welke grootheden moet je instellen bij een experiment om de weerstand van een stuk draad te bepalen? | Stel de spanning in en meet de stroomsterkte. |
| 34 | Wat moet je doen bij een experiment met een lampje waarvan het vermogen onbekend is? | Meet de stroomsterkte en bepaal het vermogen met een ampèremeter. |
| 35 | Wat doet een gebruiksvriendelijke theemok?                                                          | Hij geeft aan dat de temperatuur laag genoeg is om de thee te drinken.                               |
| 36 | Waarom kan de balk aan de rechterkant van een trebuchet niet te lang zijn?                         | Als de balk te lang is, kan de trebuchet instabiel worden of niet goed functioneren.                  |
| 37 | Noem een andere manier om de kogel verder te slingeren met een trebuchet.                          | Verhoog het gewicht van het contragewicht aan de andere kant.                                         |
| 38 | Welke eigenschap van een prothese moet zo klein mogelijk zijn voor optimale werking?              | De uitzettingscoëfficiënt van het materiaal.                                                           |
| 39 | Wat zorgt ervoor dat blades minder kracht op de ondergrond uitoefenen dan onderbenen?               | Het materiaal van de blades heeft minder grip of kracht overbrengend vermogen.                         |
| 40 | Hoe kies je een thermometer voor nauwkeurige temperatuurmetingen?                                   | Gebruik een thermometer met een kleinere schaalverdeling en/of een hogere precisie.                   |
| 41 | Waarom zijn kunststoffen vaak goedkoop te produceren?                                              | Omdat ze gemakkelijk in grote hoeveelheden geproduceerd kunnen worden.                               |
| 42 | Wat is een nadeel van plastics?                                                                     | Ze zijn nauwelijks afbreekbaar in de natuur.                                                           |
| 43 | Waarom worden composieten vaak gebruikt in bijvoorbeeld kogelwerende vesten?                        | Omdat ze sterke vezels combineren met kunststoffen, wat zorgt voor een licht, maar sterk materiaal.    |
| 44 | Wat maakt een smart material 'smart'?                                                               | Het verandert van eigenschappen (zoals kleur of vorm) als omgevingsomstandigheden veranderen.         |
